Filename,MatchesAssemblyInfo,Unique
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI,FALSE,Test01
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2ConsoleRunner,FALSE,Test02
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core,FALSE,Test03
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes,FALSE,Test04
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2_dev.sln,FALSE,Test05
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2_ui.sln,FALSE,Test06
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggle1.vsmdi,FALSE,Test07
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling,FALSE,Test08
D:\Files\Git2015\Boondoggle\BoondoggleMain\jim.txt,FALSE,Test09
D:\Files\Git2015\Boondoggle\BoondoggleMain\Local.testsettings,FALSE,Test10
D:\Files\Git2015\Boondoggle\BoondoggleMain\packages,FALSE,Test11
D:\Files\Git2015\Boondoggle\BoondoggleMain\QuickCreateBattleFile,FALSE,Test12
D:\Files\Git2015\Boondoggle\BoondoggleMain\ReferenceBot,FALSE,Test13
D:\Files\Git2015\Boondoggle\BoondoggleMain\Test_Bd2Core.Test,FALSE,Test14
D:\Files\Git2015\Boondoggle\BoondoggleMain\Test_Bd2CoreTypes.Test,FALSE,Test15
D:\Files\Git2015\Boondoggle\BoondoggleMain\Test_Bd2TestSupport,FALSE,Test16
D:\Files\Git2015\Boondoggle\BoondoggleMain\TraceAndTestImpact.testsettings,FALSE,Test17
D:\Files\Git2015\Boondoggle\BoondoggleMain\_Dependencies,FALSE,Test18
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\App.config,FALSE,Test19
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\App.xaml,FALSE,Test20
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\App.xaml.cs,FALSE,Test21
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\BattleRunnerUI.csproj,FALSE,Test22
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\MainWindow.xaml,FALSE,Test23
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\MainWindow.xaml.cs,FALSE,Test24
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\Properties,FALSE,Test25
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\Properties\AssemblyInfo.cs,TRUE,Test26
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\Properties\Resources.Designer.cs,FALSE,Test27
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\Properties\Resources.resx,FALSE,Test28
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\Properties\Settings.Designer.cs,FALSE,Test29
D:\Files\Git2015\Boondoggle\BoondoggleMain\BattleRunnerUI\Properties\Settings.settings,FALSE,Test30
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2ConsoleRunner\App.config,FALSE,Test31
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2ConsoleRunner\bd2ConsoleRunner.csproj,FALSE,Test32
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2ConsoleRunner\bd2XmlOutputter.cs,FALSE,Test33
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2ConsoleRunner\MachineConfigurations.cs,FALSE,Test34
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2ConsoleRunner\Program.cs,FALSE,Test35
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2ConsoleRunner\Properties,FALSE,Test36
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2ConsoleRunner\Properties\AssemblyInfo.cs,TRUE,Test37
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\BattleControl,FALSE,Test38
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\BattleRequest.cs,FALSE,Test39
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\bd2Core.csproj,FALSE,Test40
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\BotToLoad.cs,FALSE,Test41
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\CombatMessageType.cs,FALSE,Test42
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine,FALSE,Test43
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\GlobalSuppressions.cs,FALSE,Test44
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\KnownSubkinds.cs,FALSE,Test45
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Manager,FALSE,Test46
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging,FALSE,Test47
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model,FALSE,Test48
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Properties,FALSE,Test49
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Repository,FALSE,Test50
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\BattleControl\BattleRunnerControl.cs,FALSE,Test51
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\BattleControl\BattleStatusFile.cs,FALSE,Test52
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\BattleControl\BattleSummary.cs,FALSE,Test53
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\BattleControl\bdBattleManager.cs,FALSE,Test54
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\ActiveTurnData.cs,FALSE,Test55
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\bd2Engine.cs,FALSE,Test56
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\bd2MessageBasedBotSupport.cs,FALSE,Test57
